s.no,code,Station,Latitude,Longitude
169,DSA,Delhi Shahdara Junction,28.6734557,77.2922087
171,DWX,Dewas Junction,22.9780228,76.0519637
172,DHN,Dhanbad Junction,23.7913021,86.4294782
173,DARI,Dhari Junction,21.3268106,71.0277424
175,DMM,Dharmavaram Junction,14.4260635,77.7152283
176,DAS,Dhasa Junction,21.7827419,71.518056
177,DLJ,Dhola Junction,21.8226487,71.7396251
178,DHO,Dholpur Junction,26.6963543,77.9059515
180,DHNE,Dhone Junction,15.3953323,77.8680662
181,DHG,Dhrangadhra Junction,22.9880615,71.4777529
182,DUI,Dhuri Junction,30.3724081,75.871738
183,DLN,Dildarnagar Junction,25.418716,83.6668861
184,DG,Dindigul Junction,10.3527913,77.9834295
186,DIVA,Diva Junction,19.1887564,73.0414169
187,DKJ,Dornakal Junction,17.4453554,80.1529003
188,DDJ,Dum Dum Junction,22.6206549,88.3932794
190,DDA,Duraundha Junction,26.0872314,84.4593941
191,DURG,Durg Junction,21.2000869,81.2915794
193,ERS,Ernakulam Junction,9.9706145,76.2909707
194,ED,Erode Junction,11.3286258,77.7257896
195,ETW,Etawah Junction,26.7869304,79.0209359
197,FKM,Fakiragram Junction,26.3644473,90.1858583
198,FBD,Farrukhabad Junction,27.3824969,79.5716105
200,FTD,fatehabad chowk junction,23.009106,75.673338
201,FUT,Fatuha Junction,25.5032324,85.3039643
202,FKA,Fazilka Junction,30.4086844,74.026794
204,FBG,Forbesganj Junction,26.2988735,87.2621834
205,FKG,Furkating Junction,26.4647187,94.0018343
206,GDG,Gadag Junction,15.4364738,75.6421607
208,GIR,Gainsari Junction,27.5271027,82.5470614
210,GJL,Gajraula Junction,28.8348503,78.250401
212,GIMB,Gandhidham Junction,23.0683899,70.1477121
213,GHH,Garhi Harsaru Junction,28.4382985,76.9307249
215,GAYA,Gaya Junction,24.8035189,84.9994253
216,GZB,Ghaziabad Junction,28.6528563,77.4282442
218,GDA,Godhra Junction,22.776325,73.6058611
219,GKJ,Golakganj Junction,26.1081741,89.830652
220,GD,Gonda Junction,27.1545673,81.9773841
221,G,Gondia Junction,21.4611517,80.1931894
222,GY,Gooty Junction,15.1495485,77.625239
223,GYJ,gooty junction cabin,15.140041,77.650955
224,GKP,Gorakhpur Junction,26.7604641,83.3798194
227,GDV,Gudivada Junction,16.4305751,80.98843
228,GDR,Gudur Junction,14.1486107,79.8456294
229,GUNA,Guna Junction,24.6409015,77.3142908
230,GTL,Guntakal Junction,15.1737125,77.3698642
231,GNT,Guntur Junction,16.3009112,80.4424838
232,GQL,Gurla Junction,25.2712446,75.8863961
233,GWL,Gwalior Junction,26.2162438,78.1826037
235,HJP,Hajipur Junction,25.7019167,85.2149445
236,HMH,Hanumangarh Junction,29.6117053,74.2936019
237,HPU,Hapur Junction,28.739239,77.7787139
238,HMY,Harmuti Junction,27.1190192,93.8606073
239,HAS,Hassan Junction,13.0033872,76.1173868
241,HTZ,Hathidah Junction,25.3659157,85.9873536
242,HRS,Hathras Junction,27.6245866,78.1372829
244,HMT,Himmatnagar Junction,23.5919297,72.96025
245,HSR,Hisar Junction,29.1523467,75.7245798
246,HPT,Hosapete Junction,15.2865355,76.3865828
247,HG,Hotgi Junction,17.5652835,75.9895751
250,UBL,Hubballi Junction,15.3500577,75.1494758
252,IAA,Indara Junction,25.9875451,83.6198284
253,INDB,Indore Junction,22.7170064,75.8684722
255,IGU,Irugur Junction,11.0159443,77.0678212
256,ET,Itarsi Junction,22.6085628,77.76707
257,ITR,Itwari Junction,21.1575034,79.1188261
259,JP,Jaipur Junction,26.9207888,75.7866539
260,JHL,Jakhal Junction,29.803082,75.8207927
261,JKPR,Jakhapura Junction,20.9162794,86.0647151
262,JM,Jalamb Junction,20.8127812,76.5729835
263,JRC,Jalandhar Cantonment Junction,31.3073313,75.6311992
264,JUC,Jalandhar City Junction,31.3312228,75.5907178
265,JL,Jalgaon Junction,21.0179798,75.5632539
266,JMP,Jamalpur Junction,25.3153535,86.4933483
267,JNH,Janghai Junction,25.5500475,82.3100813
269,JSME,Jasidih Junction,24.5152477,86.6441571
270,JNU,Jaunpur Junction,25.7613222,82.6993757
271,JLR,Jetalsar Junction,21.7291971,70.5743069
274,JJP,Jhanjharpur Junction,26.2302624,86.2706673
275,JHS,Jhansi Junction,25.44395,78.5534422
276,JSG,Jharsuguda Junction,21.8632067,84.018896
277,JIND,Jind Junction,29.3296102,76.2895009
279,JTJ,Jolarpettai Junction,12.5639905,78.5783902
281,JND,Junagadh Junction,21.5294132,70.4578106
282,DRU,Kadur Junction,13.5502511,76.0087022
283,CCT,Kakinada Town Junction,16.9672966,82.2334774
284,KLBG,Kalaburagi Junction,17.3149291,76.8256326
285,KLNP,Kalinarayanpur Junction,23.2080551,88.5731871
286,KLU,Kalluru Junction,14.9250151,77.5815391
287,KLL,Kalol Junction,23.2436683,72.503355
288,KYN,Kalyan Junction,19.2358216,73.1308101
289,KYQ,Kamakhya Junction,26.1572797,91.6920689
290,KNLS,Kanalus Junction,22.3195174,69.896293
293,KNHN,Kanhan Junction,21.224885,79.2368087
294,KBRV,Kanjari Boriyavi Junction,22.6156749,72.9218334
295,KIS,Kapilas Road Junction,20.5572991,85.9930663
297,KKDI,Karaikkudi Junction,10.0696672,78.793967
299,KRLR,Karaila Road Junction,24.2702222,82.7252006
300,KXJ,Karimganj Junction,24.8604244,92.3726392
304,KRR,Karur Junction,10.9658076,78.0849562
305,KSJ,Kasganj Junction,27.801985,78.6461269
306,KPV,Kashipur Junction,29.2046633,78.9608565
307,KTX,Katakhal Junction,24.8354595,92.626631
308,KIR,Katihar Junction,25.5479729,87.5652322
309,KTE,Katni Junction,23.8347633,80.4006981
310,KPD,Katpadi Junction,12.9721529,79.1376369
311,KWAE,Katwa Junction,23.6400038,88.1237572
312,KYJ,Kayamkulam Junction,9.1813015,76.5121004
313,KZJ,Kazipet Junction,17.9748271,79.5112685
315,KID,Khairar Junction,25.4519194,80.2363078
316,KAN,Khana Junction,23.3213641,87.7695684
317,KHNP,Khanapur Junction,17.9424998,77.3842209
319,KNW,Khandwa Junction,21.8237021,76.3532291
320,KGP,Kharagpur Junction,22.3399404,87.3250048
321,KJV,khijadiya junction,21.740875,71.275556
324,KUR,Khurda Road Junction,20.1531141,85.7076331
325,KRJ,Khurja Junction,28.2065891,77.8197866
326,KIUL,Kiul Junction,25.171587,86.1056672
327,KQR,Koderma Junction,24.4351882,85.5279448
328,QLN,Kollam Junction,8.8862192,76.5954829
329,KRPU,Koraput Junction,18.7920432,82.718925
330,KSB,Kosamba Junction,21.4647981,72.9549409
331,KKP,Kot Kapura Junction,30.5798513,74.8174019
332,KOTA,Kota Junction,25.2239827,75.8808529
333,KSX,Kotshila Junction,23.4112767,86.0795304
334,KTV,Kottavalasa Junction,17.8909545,83.1863609
335,KCC,Krishna Canal Junction,16.4772582,80.606004
336,KNJ,Krishnanagar City Junction,23.3886668,88.4935346
338,SBC,KSR Bengaluru City Junction,12.9781739,77.5695603
340,KDPR,Kumedpur Junction,25.4280163,87.8067067
341,KKV,kunkavav junction,21.653448,70.975052
342,KWV,Kurduvadi Junction,18.0918477,75.4170412
343,KKDE,Kurukshetra Junction,29.9698587,76.8517108
344,KDS,Kusunda Junction,23.7899957,86.3967264
345,LRJ,Laksar Junction,29.7515434,78.0212446
347,LGH,Lalgarh Junction,28.0434306,73.3145354
352,LHU,Loharu Junction,28.4271303,75.803209
353,LNK,Lohian Khas Junction,31.1654311,75.1964924
354,LD,Londa Junction,15.4489495,74.4954976
355,LKR,Luckeesarai Junction,25.1719353,86.0944367
356,LJN,Lucknow Junction,26.8315101,80.9222977
357,LDH,Ludhiana Junction,30.9122517,75.8493757
358,LMG,Lumding Junction,25.7502262,93.1766047
359,LUNI,Luni Junction,26.0019658,73.0038979
360,MBDP,Maa Belha Devi Dham Pratapgarh Junction,25.9115884,82.0007886
363,MAO,Madgaon Junction,15.2673236,73.9703487
364,MDP,Madhupur Junction,24.2709577,86.6421996
365,MDU,Madurai Junction,9.9192715,78.1098809
367,MBA,Mahoba Junction,25.3063687,79.8502763
368,MHQ,Mahuda Junction,23.7478928,86.2694067
369,MHV,Mahuva Junction,21.0943917,71.7568456
370,MLN,Mailani Junction,28.2845513,80.3477245
371,MNQ,Mainpuri Junction,27.2166904,79.0336664
372,MJO,Majorda Junction,15.3137925,73.9219348
373,MJRI,Majri Junction,20.1393347,79.0429621
374,MKN,Makrana Junction,27.0371442,74.7251954
375,MKC,Maksi Junction,23.252069,76.1584869
378,MALB,Maliya Miyana Junction,23.1034602,70.7547915
380,MLQ,malkera junction,23.779733,86.296949
381,MNM,Manamadurai Junction,9.6829999,78.4538243
382,MDA,Mandhana Junction,26.5570563,80.2227554
383,MAJN,Mangaluru Junction,12.866628,74.8792308
384,MKP,Manikpur Junction,25.0632145,81.0940561
385,MUR,Mankapur Junction,27.0393643,82.226676
388,MPO,Manpur Junction,24.8068737,85.0447342
389,MNE,Mansi Junction,25.5091295,86.555247
390,MXN,Mariani Junction,26.652632,94.3081909
391,MJ,Marwar Junction,25.7213247,73.6097279
392,MHC,Masrakh Junction,26.1002639,84.809313
393,MTJ,Mathura Junction,27.4801125,77.6737596
394,MAU,Mau Junction,25.9380732,83.5633778
395,MVJ,Mavli Junction,24.7944402,73.9740081
397,MTC,Meerut City Junction,28.9789661,77.6756994
399,MTD,Merta Road Junction,26.7276268,73.9174103
400,MRJ,Miraj Junction,16.8186596,74.6397627
401,MYG,Miyagam Karjan Junction,22.0511891,73.1203267
402,MYGL,miyagam karjan junction ng,22.050132,73.119763
403,MINA,Miyana Junction,23.1034602,70.7547915
404,MHF,Mohari Junction,26.7009535,77.5541253
407,MB,Moradabad Junction,28.8313915,78.7654415
408,MRND,Morinda Junction,30.7953231,76.5046773
411,MUE,Mudkhed Junction,19.1480047,77.5097482
412,MFA,Mukuria Junction,25.6296119,87.8874328
413,MURI,Muri Junction,23.3776965,85.8669546
415,MFP,Muzaffarpur Junction,26.1223553,85.3779498
417,ND,Nadiad Junction,22.6934719,72.8574562
419,NGT,Nagappattinam Junction,10.7598214,79.8456137
420,NAB,Nagbhir Junction,20.5800541,79.7001967
422,NAD,Nagda Junction,23.4560185,75.4123199
423,NCJ,Nagercoil Junction,8.174535,77.4438789
424,NGP,Nagpur Junction,21.1523731,79.0882365
430,NIR,Nainpur Junction,22.4258293,80.1094709
432,NBD,Najibabad Junction,29.6037056,78.3363926
433,NRO,Nakodar Junction,31.111861,75.4765718
435,NHT,Nalhati Junction,24.2958893,87.8385235
438,NNP,Nanpara Junction,27.8601945,81.5126882
442,NRW,Narwana Junction,29.5890517,76.1096766
443,NWP,Naupada Junction,18.5789153,84.283154
448,NRG,Nergundi Junction,20.5378159,85.9586661
451,NBJU,New Barauni Junction,25.4564458,86.0066376
452,NBQ,New Bongaigaon Junction,26.4758239,90.5372357
453,NFK,New Farakka Junction,24.7947289,87.9155615
457,NKMG,New Karimganj Junction,24.8429273,92.3947736
458,NKJ,New Katni Junction,23.8044778,80.4294223
459,NMZ,New Mal Junction,26.8731037,88.7235998
460,NTSK,New Tinsukia Junction,27.4797097,95.3340578
461,NDD,Nidadavolu Junction,16.8979501,81.6745473
462,NMJ,Nidamangalam Junction,10.7737675,79.4138444
464,NZB,Nizamabad Junction,18.6787865,78.103517
465,OBVP,Obulavaripalli Junction,14.0404116,79.2678277
466,OMLF,Old Malda Junction,25.0530602,88.1436351
467,OML,Omalur Junction,11.7382934,78.0449299
468,PC,Pachora Junction,20.6696319,75.3492048
470,PDPH,padapahar junction,22.156555,85.545961
471,PAK,Pakala Junction,13.4509043,79.1145053
472,PGT,Palakkad Junction,10.7993322,76.6375989
473,PNU,Palanpur Junction,24.1745399,72.4307208
474,PNP,Panipat Junction,29.3903294,76.964085
475,PKU,Panskura Junction,22.3926941,87.7427409
478,PBN,Parbhani Junction,19.2577028,76.7737511
479,PTK,Pathankot Junction,32.2715085,75.6492957
483,PNBE,Patna Junction,25.6032109,85.1376861
484,PDPL,Peddapalli Junction,18.6137566,79.3923255
485,PDL,Pendekallu Junction,15.3743039,77.6485895
486,PKD,Penukonda Junction,14.1000661,77.5945804
487,PEM,Peralam Junction,10.9582262,79.6570624
488,PTD,Petlad Junction,22.4857247,72.8017113
490,PGW,Phagwara Junction,31.2175763,75.7654384
491,PLCJ,Phalodi Junction,27.125755,72.3666717
493,PFM,Phaphamau Junction,25.5256563,81.8671297
494,PEP,Phephna Junction,25.7699807,84.0510829
495,PHR,Phillaur Junction,31.0168732,75.7861019
496,FL,Phulera Junction,26.8736095,75.2460237
497,PBE,Pilibhit Junction,28.6157057,79.8124297
500,PTJ,Podanur Junction,10.9640914,76.9886998
501,POY,Pollachi Junction,10.6532497,77.0008953
502,PCC,Prachi Road Junction,20.9833883,70.6910645
504,PKA,Pradhankhunta Junction,23.7728108,86.5158772
505,PBH,Pratapgarh Junction,25.9115884,82.0007886
506,PRG,Prayag Junction,25.4690487,81.8674698
508,PRYJ,Prayagraj Junction,25.4454322,81.825958
510,PLO,Pulgaon Junction,20.7262581,78.3175529
511,PUNE,Pune Junction,18.5288773,73.8744146
513,PB,Puntamba Junction,19.761445,74.6219664
514,PAU,Purna Junction,19.1806209,77.0256353
516,PRR,Purulia Junction,23.325579,86.3779801
517,RBL,Rae Bareli Junction,26.2313438,81.2403133
520,RPHR,raipur hariyana junction,29.158401,75.772834
522,R,Raipur Junction,21.2558595,81.6295421
523,RWL,Raiwala Junction,30.0324451,78.2098631
525,RJK,Raja Ka Sahaspur Junction,28.6278013,78.7797009
526,RKSN,Rajkharsawan Junction,22.7338921,85.8113961
527,RJT,Rajkot Junction,22.3124309,70.80255
528,RPJ,Rajpura Junction,30.4862768,76.5936242
529,RLA,Rajula Junction,21.1039988,71.4792058
530,RMA,Ramganj Mandi Junction,24.6439969,75.9399319
531,RKI,Ramkanali Junction,23.5791571,86.7619479
534,RMU,Rampur Junction,28.7785349,79.0232295
535,RHA,Ranaghat Junction,23.1747694,88.569079
540,RNY,Rangiya Junction,26.4467608,91.60698
541,RQJ,Raninagar Jalpaiguri Junction,26.5448117,88.6472384
544,RTGH,Ratangarh Junction,28.0689589,74.6246438
546,RTM,Ratlam Junction,23.340708,75.0509934
548,RU,Renigunta Junction,13.6378742,79.5062532
549,RE,Rewari Junction,28.2024822,76.6108607
550,RGS,Ringas Junction,27.3731541,75.5632086
553,ROK,Rohtak Junction,28.8909196,76.5796261
554,ROU,Rourkela Junction,22.2277166,84.8631585
555,ROZA,Roza Junction,27.8521153,79.9562457
556,ROP,Rupsa Junction,21.6223651,87.018874
557,RTA,Ruthiyai Junction,24.5346321,77.1798921
558,SBT,Sabarmati Junction,23.0712603,72.5870272
559,SBDP,Sabdalpur Junction,25.4277676,86.4387077
560,SDLP,Sadulpur Junction,28.6315918,75.3863689
563,SGL,Sagauli Junction,26.7585186,84.7397626
564,SRE,Saharanpur Junction,29.9614586,77.5412397
565,SHC,Saharsa Junction,25.8733859,86.5946567
566,SBB,Sahibabad Junction,28.6742784,77.3644349
567,SKJ,Sahibpur Kamal Junction,25.4270239,86.4003789
568,SNT,Sainthia Junction,23.9505039,87.6810619
569,SKI,Sakri Junction,26.2089011,86.0788196
570,SA,Salem Junction,11.6707553,78.1135427
571,SRU,Salempur Junction,26.2978301,83.9235875
573,SLO,Samalkot Junction,17.0453164,82.1689895
574,SPJ,Samastipur Junction,25.8592825,85.7866355
575,SBP,Sambalpur Junction,21.4829631,83.9613243
576,SMR,Samdari Junction,25.8372697,72.5748664
577,SMLA,Samlaya Junction,22.484462,73.3025357
578,SAMN,Samni Junction,21.8525813,72.9245705
579,SMTA,Samuktala Road Junction,26.4838847,89.6348454
580,SRC,Santragachi Junction,22.5846995,88.2830722
581,SONR,Saoner Junction,21.3877213,78.9264484
583,SLRA,Sarla Junction,21.5066111,84.0144923
584,SRPR,Sarupsar Junction,29.3549028,73.7005694
585,SSM,Sasaram Junction,24.9565107,84.0189153
586,STA,Satna Junction,24.5677309,80.8286814
587,SC,Secunderabad Junction,17.4338591,78.502051
589,SCE,Senchoa Junction,26.3113845,92.6425956
593,SHG,Shahganj Junction,26.0613538,82.6799244
596,SRR,Shoranur Junction,10.7595499,76.2719238
598,SOJN,Sihor Junction,21.7245461,71.9569857
599,SIKR,Sikar Junction,27.6166406,75.1530005
601,SGUJ,Siliguri Junction,26.7237854,88.4137127
602,SLGR,Simaluguri Junction,26.9174084,94.7559815
603,SINI,Sini Junction,22.7891015,85.946823
606,SPC,Sitapur City Junction,27.5840151,80.6801746
608,SV,Siwan Junction,26.2106493,84.3585631
610,SEB,Son Nagar Junction,24.8818694,84.2309305
611,SPR,sonarpur junction,22.443359,88.429773
612,SEE,Sonpur Junction,25.6972618,85.1669651
613,SLN,Sultanpur Junction,26.2651563,82.0670436
614,SOG,Suratgarh Junction,29.3233801,73.907064
617,SUNR,Surendranagar Junction,22.7443837,71.6289059
618,TAV,Talala Junction,21.0423172,70.5227637
621,TLV,Talvadiya Junction,21.927809,76.4446336
622,TPZ,Tapri Junction,29.9158643,77.583568
624,TKE,tarikere junction,13.710886,75.812209
626,TEL,Tenali Junction,16.2412764,80.6407412
627,TSI,Tenkasi Junction,8.9644856,77.3062335
628,THB,Thana Bihpur Junction,25.3936245,86.9356745
629,TJ,Thanjavur Junction,10.7781963,79.1396716
630,THE,Thawe Junction,26.4388713,84.394069
632,TVR,Thiruvarur Junction,10.7650016,79.6336962
633,TIA,Tilaiya Junction,24.8226273,85.4036672
634,TPH,Tinpahar Junction,24.9965652,87.7435515
635,TSK,Tinsukia Junction,27.4868393,95.3577202
637,TEN,Tirunelveli Junction,8.7312234,77.708336
639,TIG,Titlagarh Junction,20.2853019,83.1535757
640,TNGL,Toranagallu Junction,15.2029326,76.6631417
641,TDL,Tundla Junction,27.2080865,78.2330444
642,UDN,Udhna Junction,21.1704267,72.8509905
644,UJN,Ujjain Junction,23.1795347,75.781954
645,UCR,Unchahar Junction,25.9032351,81.2999494
647,ON,Unnao Junction,26.5492382,80.4874371
649,BRC,Vadodara Junction,22.3110728,73.1808008
650,MEJ,Vanchi Maniyachchi Junction,8.881039,77.891377
651,BSB,Varanasi Junction,25.3275678,82.986245
652,VDA,Vasad Junction,22.4528694,73.0606454
653,VRL,Veraval Junction,20.911469,70.3709046
654,VKA,Verka Junction,31.6661832,74.9325069
656,BZA,Vijayawada Junction,16.5204153,80.6196802
657,VKB,Vikarabad Junction,17.3374029,77.9096929
660,VG,Viramgam Junction,23.1276285,72.053493
661,VGLJ,virangana lakshmibai jhansi juction,25.443899,78.5534
662,VGLJ,Virangana Lakshmibai Jhansi Junction,25.4439141,78.5532235
666,VSW,Visavadar Junction,21.3402401,70.7557328
667,VZM,Vizianagaram Junction,18.1114637,83.396325
668,VRI,Vriddhachalam Junction,11.5333359,79.3165229
669,WADI,Wadi Junction,17.0522945,76.9918953
671,WKR,Wankaner Junction,22.6223764,70.9637413
672,WSJ,Wansjaliya Junction,21.7995179,69.8734196
673,WR,Wardha Junction,20.7329564,78.595261
674,YNK,Yelahanka Junction,13.1050067,77.5918938
676,YPR,Yesvantpur Junction,13.0237734,77.5507701
677,ZBD,Zafarabad Junction,25.7077339,82.7185804
678,AGD,Agasod,24.2339629,78.2176203
679,APDJ,Alipurduar,26.4789235,89.5210353
680,AMLA,Amla,21.9195099,78.1227559
681,ASV,Asarva,23.0440925,72.6132157
682,BPQ,Balharshah,19.8499139,79.3478101
683,BNDA,Banda,25.4775297,80.334921
684,BAKA,Banka,24.8668529,86.912574
685,BQA,Bankura,23.224151,87.0755455
686,BJMD,Bara Jamda,22.1649676,85.4092826
687,BCQ,Barachak,23.7071622,86.9284402
688,BWN,Barddhaman,23.2499126,87.8698352
689,BRGA,Bargarh Road,21.3330284,83.6433256
690,BRN,Barhan,27.3296297,78.1918956
691,BPR,Bhojipura,28.494554,79.4477043
692,MAKR,Bina Malkhedi,24.170509,78.2235214
693,BLNR,Birlanagar,26.2380733,78.1954124
694,VSU,Bishnupur,23.0649054,87.3021808
695,BNDM,Bondamunda,22.2359031,84.9254992
696,CDG,Chandigarh,30.7021622,76.8214533
697,DAL,Daliganj,26.8753418,80.9275723
698,DMA,Damodar,23.6509891,86.9085894
699,DKAE,Dankuni,22.6779609,88.2907626
700,DHO,Dholpur,26.6963543,77.9059515
701,DGJ,Dungar,25.8894631,76.3139922
702,EKI,Eklakhi,25.1680829,88.0988866
703,GWD,Gadwal,16.2251954,77.809493
704,GMH,Gamharia,22.7965697,86.1011327
705,GIN,Ginigera,15.3479803,76.2475769
706,GOY,Govindpuri,26.4536771,80.312879
707,HM,Hadmatiya,22.4284748,70.4710133
708,HTW,Hathua,26.3689447,84.3401722
709,HWH,Howrah,22.5833648,88.3403452
710,JBP,Jabalpur,23.1649573,79.9512511
711,JKM,Jankampet,18.7027159,78.0538878
712,JU,Jodhpur,26.2838568,73.0226947
713,JOC,Joychandi Pahar,23.5171901,86.681166
714,KND,Kandra,23.7393279,87.969321
715,CPJ,Kaptanganj,26.9256647,83.6992202
716,KJT,Karjat,18.9130789,73.3208486
717,KGG,Khagaria,25.506425,86.4663243
718,KUX,Khirsadoh,22.1764703,78.7734325
719,LJR,Lanjigarh Road,19.9442779,83.4012857
720,LTRR,Latur Road,18.5064442,76.8451251
721,MDJN,Madar,26.4628698,74.6850428
722,MJN,Makum,27.4869637,95.4393434
